f_MHz,Z11r,Z11i,Z12r,Z12i,Z21r,Z21i,Z22r,Z22i
8.630901999999999816e+02,3.647807959888229590e+00,7.195408476910195361e+01,-1.879720025433869068e+01,-5.305519035903662228e+01,-1.875695196253994368e+01,-5.337748354473021095e+01,9.310903481676564297e+01,-1.746123134628088636e+01
8.635243500000000267e+02,3.710693756920021791e+00,7.199175746056764069e+01,-1.910146583140056009e+01,-5.303929682986390048e+01,-1.904221918118939172e+01,-5.335448579903292909e+01,9.458701170865809615e+01,-1.755427697021173117e+01
8.639584999999999582e+02,3.774814850381774001e+00,7.202759845305619990e+01,-1.941229086316577579e+01,-5.301359031693184676e+01,-1.933336642383726556e+01,-5.332303741164017907e+01,9.609638398825212846e+01,-1.769581478029214594e+01
8.643926500000000033e+02,3.840151633807429299e+00,7.206148479788772931e+01,-1.972952077993733866e+01,-5.297740845695766865e+01,-1.963031737995618542e+01,-5.328254461505231632e+01,9.763636258551349556e+01,-1.788905891671365822e+01
8.648268000000000484e+02,3.906677030442452736e+00,7.209328756854895914e+01,-2.005295814047313030e+01,-5.293006159918202513e+01,-1.993295933657800134e+01,-5.323238382736742835e+01,9.920594911516387526e+01,-1.813735446569701182e+01
8.652609499999999798e+02,3.974355557675207873e+00,7.212287194283442204e+01,-2.038235780927086793e+01,-5.287083373221804550e+01,-2.024113858301985758e+01,-5.317190207961479587e+01,1.008039124135457314e+02,-1.844417281784473417e+01
8.656951000000000249e+02,4.043142319477646573e+00,7.215009737033825843e+01,-2.071742180209493611e+01,-5.279898389442377749e+01,-2.055465546773870145e+01,-5.310041786309879797e+01,1.024287634721535341e+02,-1.881310465674369681e+01
8.661292499999999563e+02,4.112981928359683792e+00,7.217481784090756491e+01,-2.105779381612519430e+01,-5.271374814861263047e+01,-2.087325911523856092e+01,-5.301722247278092226e+01,1.040787288507184911e+02,-1.924785018424822525e+01
8.665634000000000015e+02,4.183807360355701555e+00,7.219688227123749868e+01,-2.140305347247079126e+01,-5.261434220899316472e+01,-2.119664182082696868e+01,-5.292158193031043822e+01,1.057517227083942686e+02,-1.975220615478669828e+01
8.669975500000000466e+02,4.255538749041696711e+00,7.221613502827962350e+01,-2.175271031254628085e+01,-5.249996481464715004e+01,-2.152443315316136108e+01,-5.281273957750004655e+01,1.074453176588727956e+02,-2.033004926025947512e+01
8.674316999999999780e+02,4.328082127582388416e+00,7.223241660946581533e+01,-2.210619760619017171e+01,-5.236980194914103492e+01,-2.185619380920666543e+01,-5.268991943741713868e+01,1.091567147353331109e+02,-2.098531538191193491e+01
8.678658500000000231e+02,4.401328131376613939e+00,7.224556450081038861e+01,-2.246286604858328317e+01,-5.222303200945231083e+01,-2.219140928365007781e+01,-5.255233044530979214e+01,1.108827128447371422e+02,-2.172197420879277985e+01
8.682999999999999545e+02,4.475150678033029017e+00,7.225541423461588408e+01,-2.282197744512134108e+01,-5.205883202857045688e+01,-2.252948343515695129e+01,-5.239917165467091564e+01,1.126196781987730589e+02,-2.254399871745176398e+01
8.687341499999999996e+02,4.549405646191313046e+00,7.226180066861857654e+01,-2.318269850838041890e+01,-5.187638505409319833e+01,-2.286973205516025587e+01,-5.222963852410603636e+01,1.143635143304753825e+02,-2.345532901838309314e+01
8.691683000000000447e+02,4.623929580083474988e+00,7.226455950777963722e+01,-2.354409491904130647e+01,-5.167488877892994736e+01,-2.321137657109079910e+01,-5.204293038741602828e+01,1.161096334405146564e+02,-2.445983010599724849e+01
8.696024499999999762e+02,4.698538452663589382e+00,7.226352908835828259e+01,-2.390512583271434721e+01,-5.145356550879782276e+01,-2.355353804481704572e+01,-5.183825920143421939e+01,1.178529299633609924e+02,-2.556124310568729285e+01
8.700366000000000213e+02,4.773026526511609191e+00,7.225855244116289100e+01,-2.426463904638260161e+01,-5.121167353343656004e+01,-2.389523165806639327e+01,-5.161485965257429598e+01,1.195877573978281987e+02,-2.676312969929940522e+01
8.704707499999999527e+02,4.847165358386878786e+00,7.224947964672659850e+01,-2.462136707070555630e+01,-5.094851994320250554e+01,-2.423536190896631126e+01,-5.137200068257752150e+01,1.213079096041560803e+02,-2.806880953465966755e+01
8.709048999999999978e+02,4.920703000026537488e+00,7.223617048936277740e+01,-2.497392438631050382e+01,-5.066347489884336852e+01,-2.457271877639225011e+01,-5.110899846547001601e+01,1.230066079240309733e+02,-2.948129059104478600e+01
8.713390500000000429e+02,4.993363454235004717e+00,7.221849740939634898e+01,-2.532080619168518965e+01,-5.035598731881054135e+01,-2.490597513999223622e+01,-5.082523083017201770e+01,1.246764956221495311e+02,-3.100319268535619699e+01
